page_url,property_type,price,location,locality,baths,area_marla,purpose,bedrooms
https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_beautiful_location_near_roots_school_plot_for_sale-17217833-3048-1.html,Flat,3200000,Bahria Town Rawalpindi,"Bahria Town Rawalpindi, Rawalpindi, Punjab",1,2.8,For Sale,1
https://www.zameen.com/Property/karachi_mehmoodabad_brand_new_ground_floor_portion_for_sale-12034940-9201-1.html,Lower Portion,3800000,Mehmoodabad,"Mehmoodabad, Karachi, Sindh",1,3.2,For Sale,3
https://www.zameen.com/Property/dha_phase_6_nishat_commercial_area_flat_is_available_for_rent-12444753-8491-4.html,Flat,70000,DHA Defence,"DHA Defence, Karachi, Sindh",3,8.0,For Rent,3
https://www.zameen.com/Property/dha_phase_5_badar_commercial_area_apartment_for_sale_2bed_drawing_room_big_lounge-17266111-8484-1.html,Flat,8000000,DHA Defence,"DHA Defence, Karachi, Sindh",2,4.3,For Sale,2
https://www.zameen.com/Property/eden_city_eden_city_block_a_the_best_house_is_up_for_living_purpose-17031141-3727-1.html,House,21000000,Eden,"Eden, Lahore, Punjab",5,10.0,For Sale,5
https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_mehran_block_prime_location_house_is_available_for_sale-17027551-3518-1.html,House,15000000,Allama Iqbal Town,"Allama Iqbal Town, Lahore, Punjab",4,10.0,For Sale,4
https://www.zameen.com/Property/dha_defence_dha_phase_5_dha_phase_5_j_block_beautiful_5_marla_house_for_sale-14381830-1447-1.html,House,24000000,DHA Defence,"DHA Defence, Lahore, Punjab",4,5.0,For Sale,3
https://www.zameen.com/Property/islamabad_ghauri_town_5_marla_portion_for_rent_ghauri_town_islamabad-13426750-1314-4.html,Upper Portion,18000,Ghauri Town,"Ghauri Town, Islamabad, Islamabad Capital",3,5.6,For Rent,2
https://www.zameen.com/Property/rawalpindi_professors_colony_double_storey_house_is_available_for_sale-17255225-6039-1.html,House,8500000,Professors Colony,"Professors Colony, Rawalpindi, Punjab",0,4.0,For Sale,0
https://www.zameen.com/Property/islamabad_f_11_furnished_flat_is_available_for_rent-14991433-163-4.html,Flat,140000,F-11,"F-11, Islamabad, Islamabad Capital",3,10.0,For Rent,3
https://www.zameen.com/Property/dha_defence_dha_phase_5_1_kanal_5_bedrooms_best_location_house_for_sale_in_dha_phase_5-17338732-1447-1.html,House,68500000,DHA Defence,"DHA Defence, Lahore, Punjab",5,20.0,For Sale,5
https://www.zameen.com/Property/i_10_i_10_4_i_10_4_lower_portion_for_rent-17141783-3423-4.html,Lower Portion,40000,I-10,"I-10, Islamabad, Islamabad Capital",2,6.7,For Rent,2
https://www.zameen.com/Property/dha_defence_dha_phase_3_1_kanal_stylish_bungalow_for_rent_in_phase_3_dha_lahore-16685928-1454-4.html,House,125000,DHA Defence,"DHA Defence, Lahore, Punjab",6,20.0,For Rent,5
https://www.zameen.com/Property/dha_valley_dha_homes_dha_home_islamabad-17005867-3226-1.html,House,7200000,DHA Defence,"DHA Defence, Islamabad, Islamabad Capital",4,8.0,For Sale,3
https://www.zameen.com/Property/karachi_korangi_complete_house_for_sale-16747274-255-1.html,House,5500000,Korangi,"Korangi, Karachi, Sindh",2,4.8,For Sale,2
https://www.zameen.com/Property/dha_defence_phase_2_defence_residency_2_bed_drawing_apartment_defence_residency_block_3_dha_2_islamabad_for_rent-17241178-9914-4.html,Flat,22000,DHA Defence,"DHA Defence, Islamabad, Islamabad Capital",3,4.9,For Rent,2
https://www.zameen.com/Property/dha_defence_dha_phase_3_1_kanal_stylish_bungalow_for_rent_in_phase_3_dha_lahore-17385657-1454-4.html,House,120000,DHA Defence,"DHA Defence, Lahore, Punjab",6,20.0,For Rent,5
https://www.zameen.com/Property/low_cost_sector_low_cost_block_d_2nd_floor_5_marla_awami_villa_for_seal_in_bahria_orchard-16641780-8189-1.html,Flat,2950000,Bahria Orchard,"Bahria Orchard, Lahore, Punjab",1,5.0,For Sale,2
https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_umar_block_8_marla_house_for_sale_umar_block-16659467-1781-1.html,House,16500000,Bahria Town,"Bahria Town, Lahore, Punjab",4,8.0,For Sale,3
https://www.zameen.com/Property/i_10_i_10_1_the_best_house_for_living_purpose-16520714-3420-1.html,House,30000000,I-10,"I-10, Islamabad, Islamabad Capital",7,8.0,For Sale,5
https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_newly_construct_double_unit_house-16779793-3048-1.html,House,24000000,Bahria Town Rawalpindi,"Bahria Town Rawalpindi, Rawalpindi, Punjab",6,10.0,For Sale,5
https://www.zameen.com/Property/lahore_park_view_villas_great_opportunity_for_you_to_have_the_property_of_your_choice-17293087-1466-1.html,House,11000000,Park View Villas,"Park View Villas, Lahore, Punjab",3,5.0,For Sale,3
https://www.zameen.com/Property/dha_phase_6_others_2_bedroom_apartment_available_on_rent_in_dha_phase_6_karachi-17300845-6675-4.html,Flat,47000,DHA Defence,"DHA Defence, Karachi, Sindh",2,4.4,For Rent,2
https://www.zameen.com/Property/lahore_cantt_here_is_a_good_opportunity_to_live_in_a_well_built_house-17298819-427-1.html,House,4700000,Cantt,"Cantt, Lahore, Punjab",2,2.0,For Sale,2
https://www.zameen.com/Property/rawalpindi_gulraiz_housing_scheme_house_is_available_for_sale-17125487-438-1.html,House,11500000,Gulraiz Housing Scheme,"Gulraiz Housing Scheme, Rawalpindi, Punjab",0,5.0,For Sale,4
https://www.zameen.com/Property/lahore_sharaqpur_road_brand_new_house_available_for_sale-15404011-13225-1.html,House,4490000,Sharaqpur Road,"Sharaqpur Road, Lahore, Punjab",2,3.0,For Sale,2
https://www.zameen.com/Property/wapda_town_wapda_town_phase_1_double_storey_brand_new_house_is_available_for_sale-17356796-4307-1.html,House,39000000,Wapda Town,"Wapda Town, Lahore, Punjab",5,20.0,For Sale,5
https://www.zameen.com/Property/federal_b_area_federal_b_area_block_9_here_is_a_good_opportunity_to_live_in_a_well_built_portion-16763225-6693-1.html,Upper Portion,6200000,Federal B Area,"Federal B Area, Karachi, Sindh",2,6.4,For Sale,2
https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_luxurious_bungalow_for_sale_in_phase_5_dha-17450169-1447-1.html,House,39000000,DHA Defence,"DHA Defence, Lahore, Punjab",5,10.0,For Sale,4
https://www.zameen.com/Property/lahore_wapda_town_5_marla_house_for_sale-14882293-423-1.html,House,11500000,Wapda Town,"Wapda Town, Lahore, Punjab",5,5.0,For Sale,5
https://www.zameen.com/Property/cantt_khuda_bux_colony_khuda_bush_colony_7_marla_house_for_sale-15962637-3672-1.html,House,14000000,Cantt,"Cantt, Lahore, Punjab",4,7.0,For Sale,3
https://www.zameen.com/Property/lahore_model_town_golden_chance_to_buy_your_bungalow_for_sale_4_kanal_big_front-17222285-8-1.html,House,250000000,Model Town,"Model Town, Lahore, Punjab",8,80.0,For Sale,8
https://www.zameen.com/Property/islamabad_national_police_foundation_o_9_portion_is_available_for_rent-17460525-331-4.html,Upper Portion,30000,National Police Foundation O-9,"National Police Foundation O-9, Islamabad, Islamabad Capital",0,10.0,For Rent,3
https://www.zameen.com/Property/islamabad_g_11_portion_for_rent-13877912-168-4.html,Upper Portion,25500,G-11,"G-11, Islamabad, Islamabad Capital",2,4.5,For Rent,2
https://www.zameen.com/Property/faisalabad_muslim_town_house_is_available_for_rent-17173995-1156-4.html,House,35000,Muslim Town,"Muslim Town, Faisalabad, Punjab",0,7.0,For Rent,5
https://www.zameen.com/Property/f_7_f_7_1_house_for_sale-7868704-3307-1.html,House,180000000,F-7,"F-7, Islamabad, Islamabad Capital",8,26.0,For Sale,7
https://www.zameen.com/Property/bahria_town_karachi_bahria_apartments_flat_is_available_for_sale-16802744-9030-1.html,Flat,10600000,Bahria Town Karachi,"Bahria Town Karachi, Karachi, Sindh",2,6.4,For Sale,2
https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_designer_spanish_bungalow_in_phase_6_near_to_main_dha_office_main_cca_park_dha_lahore-16558640-1448-1.html,House,57000000,DHA Defence,"DHA Defence, Lahore, Punjab",6,20.0,For Sale,5
https://www.zameen.com/Property/dha_defence_dha_phase_4_house_is_available_for_sale-17084204-1446-1.html,House,35000000,DHA Defence,"DHA Defence, Lahore, Punjab",0,10.0,For Sale,0
https://www.zameen.com/Property/state_life_housing_society_state_life_housing_phase_1_5_marla_brand_new_house_for_sale-12932606-4190-1.html,House,9500000,State Life Housing Society,"State Life Housing Society, Lahore, Punjab",4,5.0,For Sale,3
https://www.zameen.com/Property/d_h_a_dha_phase_6_here_is_a_good_opportunity_to_live_in_a_well_built_flat-16732310-1483-1.html,Flat,12500000,DHA Defence,"DHA Defence, Karachi, Sindh",2,4.0,For Sale,2
https://www.zameen.com/Property/faisalabad_wapda_city_the_best_house_for_living_purpose-17391514-501-1.html,House,13000000,Wapda City,"Wapda City, Faisalabad, Punjab",0,10.0,For Sale,4
https://www.zameen.com/Property/rawalpindi_ali_town_house_for_rent-14891908-11348-4.html,House,13000,Ali Town,"Ali Town, Rawalpindi, Punjab",3,3.0,For Rent,2
https://www.zameen.com/Property/faisalabad_gulshan_e_haram_the_best_house_for_living_purpose-16784097-10378-1.html,House,5500000,Gulshan-e-Haram,"Gulshan-e-Haram, Faisalabad, Punjab",0,3.0,For Sale,0
